,instructor_name,Number of courses
0,Packt Publishing,1073
1,Illumeo Learning,303
2,Eric Yeboah,217
3,Bluelime Learning Solutions,212
4,Intellezy Trainers,200
5,Pradeep Aggarwal,199
6,Infinite Skills,160
7,Management Study Guide,146
8,PanoraM Akademi,136
9,Hugo Vasconcelos,133
10,Eduonix Learning Solutions,133
11,Stone River eLearning,129
12,Oak Academy,121
13,3dmotive LLC,118
14,Mehul Patel,118
15,Kristoffer Ditz,118
16,スーパーガールズ SGO,115
17,IT Exam Institute,115
18,Inna Pavlecka-Tumarkin,114
19,石崎力也 (RIKIYA ISHIZAKI),112
20,Dr Karen E Wells,108
21,Berardino Nardella,105
22,Gabriel Felix,103
23,Chandrika patel,103
24,Being Commerce,101
25,edugrafia pl wideo kursy,101
26,Leon Dawi,100
27,MSc Grimaldo Lopes | + 40.000 alunos de Oliveira,96
28,Federico von Borstel,94
29,Luis Guevara Matias,94
30,Jubilee Enterprise,83
31,Adrian Nantchev,82
32,Mammoth Interactive,81
33,Nicolas Forgue,81
34,Marcello Pattarin,79
35,HowExpert,79
36,Dr. Dheeraj Mehrotra,78
37,Laurence Svekis,77
38,Bilal Semih Bozdemir,77
39,Mustafa Alawi,77
40,Kursy Wideo,76
41,Lisa Newton,76
42,Weelearn : Regardez - Apprenez,75
43,Rosa Suen,74
44,Enrique Galicia,74
45,SONIC Performance Support - E-Learning Experts,72
46,Jason Allen,72
47,AulaGEO Academy,71
48,ヤスダ 先生,69
49,"Chris Benjamin, MBA & CFO",68
50,Antonio Papa,67
51,Simon Sez IT,66
52,Bigger Brains,64
53,Damien Barban,62
54,Harshit Srivastava,61
55,Ilse Lozoya,61
56,Omar Meho,60
57,"TEST4U Testing, Training, Evaluation Platform",58
58,Test Prep Expert,58
59,"Graham ""The Baron"" Hesketh",58
60,Greg Vanderford,57
61,Educational Engineering Team,56
62,Dan We,56
63,Scott Jansen,56
64,"Raja Natarajan, B.Com., PGDBA, FCA",55
65,Yohann Taieb,55
66,Peter Alkema,54
67,Venkatesh Varadachari,53
68,Brent Dalley,51
69,MMD Trainings,51
70,Alex Genadinik,50
71,Colin Bradley School of Art,50
72,Jamal Lazaar,49
73,Integrity Training,49
74,Patrizio Riccardi,49
75,albert académie,49
76,David Yao,48
77,Alexander Schreiner,47
78,Maher Haddad,46
79,Mikael Baggström,46
80,The Art Of Service,45
81,Jason Teteak,45
82,Juan Sebastian Garcia,45
83,Dr. Lily Filson,44
84,Adrian Rubio Martinez,44
85,Alain de Raymond,43
86,Juracy Araujo de Almeida Junior,43
87,Crystal Tummala,43
88,Dollar Design School,42
89,AFAQ Formations,42
90,Joeel & Natalie Rivera,42
91,Terapeuta Luci Porcino,42
92,Asif Ahmed,42
93,Nicola A Blakemore,42
94,Jones Granatyr,42
95,Expert Academy,42
96,APCA CHEF Online,41
97,Attain Online Japanese Language School,41
98,Douglas Melvin,41
99,DevTechie Inc,40
100,Kellie Chasse,40
101,Ben Hewlett,40
102,Wade Henderson,39
103,Petko Zhivkov Aleksandrov,39
104,Tom Wechsler,39
105,Toshendra Sharma,39
106,마이크 임팩트,39
107,EDUCBA Bridging the Gap,38
108,ISMAIL OD Academy,38
