,instructor_name,price,num_subscribers,avg_rating,num_lectures,content_length_min,Number of courses
0,""" NetworkHelp """,32.49,27.0,4.41666665,12.5,419.5,2
1,"""Mr. Casual"" Charlie DeChant",49.99,138.0,4.7,40.0,184.0,1
2,"""Real Teacher"" ∼Floridian Campus∼ フロリダのキャンパス",99.99,26.0,5.0,55.0,213.0,1
5,#Digitalizzando Academy,199.99,278.3333333333333,3.766666666666667,9.0,108.33333333333333,3
7,'Regen Ray' Milidoni,79.24,78.75,4.456944425,13.5,234.5,4
8,(Bo)Siripa Aruenpong,34.99,147.0,4.55,36.0,148.0,1
10,(International Diving,91.24000000000001,51.0,4.457291625,35.5,173.75,4
12,(あくしょん) Murakami Yoshiyuki,101.24000000000001,1206.0,4.4875,35.5,300.5,4
14,(株)笑い総研 大久保信克,24.99,76.0,4.45,36.0,105.0,1
15,+ DoctorApple +,205.23333333333332,32.166666666666664,4.626177246666667,15.633333333333333,146.66666666666666,30
16,- -,199.99,161.0,4.7,0.0,0.0,1
17,- ClouDevOps -,31.656666666666666,180.33333333333334,3.8166666666666664,22.0,61.666666666666664,3
18,- LaPrimera.net,49.99,245.0,4.1,36.0,264.0,1
20,- Skillcoach -,44.156666666666666,1261.5,4.4407827499999994,22.166666666666668,146.66666666666666,6
21,- Superpadres -,19.99,55.0,4.65,11.0,127.0,1
23,- The Arabic Online Music School,19.99,1260.0,4.765909,32.5,195.5,2
26,. Kumar .,19.99,1021.0,4.1969695,26.0,95.0,1
27,. TemWeb .,24.99,57.0,4.8,0.0,0.0,1
29,04 Academy,97.49000000000001,295.25,4.2309027875,59.5,236.125,8
30,0aaa Club,94.99,177.0,4.6,14.0,43.0,1
32,100 Ways To Success,19.99,20.0,4.875,0.0,0.0,1
33,10X Training Technologies,34.99,1434.5,3.9887821500000005,53.5,211.0,2
34,112vente Sébastien Bauer,59.989999999999995,335.5,4.4,30.5,111.5,2
35,123vietnamese Language Center,39.99,612.0,4.55,25.0,183.0,1
37,151画 ICHIGOICHIE,24.0,51.0,4.8,45.0,281.0,1
38,180 Grados,47.99,41.86666666666667,4.379537033333333,6.666666666666667,285.0,15
39,199courses Official,199.99,554.6666666666666,3.7240741000000006,66.66666666666667,240.66666666666666,3
45,2 Fellas Learning,29.99,12.0,5.0,27.0,59.0,1
46,20Collins Courses,39.99,781.5,4.440705250000001,0.0,0.0,2
48,22 Lions Bookstore,19.99,1233.4545454545455,3.9545454545454546,14.454545454545455,71.9090909090909,11
50,247 Learning,98.87888888888888,726.6666666666666,3.7950617444444443,42.666666666666664,251.77777777777777,9
51,29 Indigo Academy,199.99,627.0,4.3,29.0,131.0,1
52,2D Animation 101 Courses,79.99,575.4285714285714,4.5738095,24.714285714285715,173.42857142857142,7
55,3 Seconds,49.99,1375.0,3.36666665,21.5,67.5,2
56,360 Soft,49.99,27.0,4.6,44.0,403.0,1
58,365 Careers,186.83210526315793,1245.3157894736842,4.45774357368421,52.05263157894737,217.57894736842104,19
59,369 Healing,49.99,17.0,4.0,15.0,99.0,1
60,3D BUZZ Programming and Digital Art training,31.99,1250.2,4.38,29.0,290.0,5
61,3D Okulu,259.99,70.0,3.675,18.0,422.5,2
62,3D POP,19.99,2661.0,4.7,29.0,452.0,1
63,3D Pro Club,79.9,21.0,4.6,12.0,98.0,1
64,3D Tudor,134.99,571.0,4.835833333333333,35.5,425.0,6
65,3DRI 金子,108.32333333333334,48.333333333333336,4.928571333333333,19.666666666666668,158.66666666666666,3
70,3L Resources,24.99,111.0,5.0,0.0,0.0,1
71,3d L,249.99,56.0,4.0,18.0,288.0,1
72,3d helper,19.99,1468.0,4.2,5.0,53.0,1
73,3dmotive LLC,19.99,535.4406779661017,4.152631488135594,26.47457627118644,239.05084745762713,118
74,4 Cyber,19.99,108.0,4.25,31.0,156.0,1
77,411Admissions Courses,19.99,77.0,5.0,11.0,38.0,1
79,4Dev Academy,129.9,38.0,4.9,30.0,380.0,1
80,4Mechanical Academy,19.99,123.0,3.8,0.0,0.0,1
81,4P Advisory Services,24.99,187.5,4.225,33.5,172.5,2
83,4eck Media GmbH & Co. KG www.4eck-media.de,199.99,205.0,4.825,12.0,263.0,2
89,619 Trading,29.99,42.0,3.2857144,37.0,127.0,1
91,7 Keys Solutions,44.99,839.5,4.175,11.0,74.5,2
92,7 Lives,34.99,1272.0,4.0,15.0,61.0,1
94,7Active Studio,19.99,6.0,5.0,73.0,345.0,1
95,7Qs Quality Solutions,29.99,189.0,4.15,20.0,40.0,1
96,88OFFICE KAWAMOTO,24.0,51.1,4.7219047000000005,15.3,89.9,10
97,8D Studio,99.99,651.5,4.525,18.5,316.0,2
98,8VI Malaysia Sdn Bhd,199.99,17.0,4.428571,16.0,152.0,1
99,8th Avenue,44.99,5.0,5.0,21.0,53.0,1
100,9 to 12,19.99,1512.5,4.35,54.5,133.0,2
101,9.0 Niner IELTS Review & Tutorial Center,59.99,78.0,4.25,17.0,112.0,1
104,99 Certs,19.99,23.0,3.0,0.0,0.0,1
106,@Daiz Academy,20.0,1044.0,4.175,13.0,98.0,2
110,A Al Shoura,22.49,286.5,4.45,23.5,155.5,2
111,A Alabedra,19.99,81.0,4.6,72.0,68.0,1
115,A Data Guru platform,49.99,660.0,3.6,40.0,497.0,1
119,A Lei da Atração Positiva,19.99,240.0,4.5,7.0,159.0,1
121,A Power Coding APC : Medical Doctor & Coder,28.323333333333334,85.66666666666667,4.404166666666667,32.5,228.5,6
123,A Rezika,81.24,27.75,4.119047575,25.5,371.5,4
124,A Security Guru,19.99,1396.0,4.525557849999999,37.333333333333336,146.83333333333334,6
127,A V Krishnan,19.99,2946.0,4.3142858,0.0,0.0,1
128,A Wildes,39.99,1136.5,4.41875,48.75,71.0,4
129,A simple Architect,139.99,35.0,4.4375,55.0,328.0,1
130,A to Z Mentors,29.99,1091.0,4.5,61.0,418.0,1
131,A& People,15.0,27.0,4.65,19.0,87.0,1
132,A&D Contadores y Consultores,49.99,43.0,4.625,8.0,229.0,1
133,A&S Mandarin,29.990000000000002,70.5,4.8,14.0,184.5,2
136,A. Annette Hankins,49.99,82.0,4.5,15.0,140.0,1
138,A. C. YILMAZ,19.99,56.0,4.78174585,43.5,496.5,2
141,A. Hiraga (En Marketing G.K.),24.0,484.0,3.95,77.0,653.0,1
144,A. J. Smith,34.99,133.33333333333334,4.066666666666666,9.333333333333334,161.66666666666666,3
147,A. Lichter,29.99,13.0,3.5,14.0,40.0,1
148,A. Morelan,29.99,678.0,4.3,31.0,207.0,1
149,A. O,27.49,405.75,3.6263889000000002,21.0,44.75,4
151,A. TURKMEN,269.99,11.0,3.5,15.0,34.0,1
154,A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office),19.99,1443.0,4.75,55.0,269.0,2
155,A.R.F.C.T CO Arab Road for Consulting and Training,19.990000000000002,17.923076923076923,4.439102576923077,23.53846153846154,173.92307692307693,13
156,A.S WOLF MEDIA LTD,19.99,2764.0,3.65,12.0,76.0,1
157,A.Vahap Doğan,34.99,29.0,3.9,21.0,217.0,1
158,A2B Scotland,29.99,6.0,3.5,10.0,61.0,1
159,A2C2 ONLINE,113.65,47.375,4.5513889,28.125,158.375,8
160,A2J Tech,19.99,419.3333333333333,4.421296333333333,25.666666666666668,184.66666666666666,3
161,A2Z Services,19.99,47.0,3.5625,0.0,0.0,1
162,A4Animation School,19.99,337.0,4.45,30.0,134.0,1
163,AACM The Australian Academy of Cinemagraphic Makeup,59.99,370.0,4.45,21.333333333333332,87.66666666666667,3
165,AARVEE VM,29.99,72.0,4.6,34.0,462.0,1
168,AB Akademie,52.489999999999995,1379.0,4.3166667499999996,0.0,0.0,2
169,"AB EduTech, Aniket Bichare",27.0,2054.0,4.8,0.0,0.0,1
173,ABC Tuts,34.99,1188.0,4.375,26.5,171.0,2
177,ABDERRAHMANE BELDJOUHEUR,112.49000000000001,15.0,4.20833335,9.5,86.5,2
178,ABDULAZZIZ AL-SOSY,19.99,3.0,5.0,8.333333333333334,208.66666666666666,3
179,ABDULLAH AL-GHURABI,19.99,411.0,3.85,10.0,31.0,1
180,ABDULMECİT ÇETER,249.99,2017.0,4.3,28.0,381.0,1
182,ABED ALRAHMAN ALLOUSH,19.99,1629.0,4.75,63.0,481.0,1
188,ABM Junaed,19.99,1022.0,4.875,45.0,171.0,1
190,ABP Publishing,199.99,16.0,4.625,62.0,182.0,2
191,AC Miller,99.99,9.0,4.75,14.0,42.0,1
194,ACI69 Crypto | Videoripetizioni,25.615,337.46875,4.3496527968750005,34.75,253.375,32
195,ACI69 Trading,19.99,385.25,4.5375,32.75,237.75,4
196,ACIT - Associação Comercial e Industrial de Taubaté,122.4,57.5,4.5,25.5,106.0,2
197,ACT Group,44.99,5.0,4.5,11.0,230.0,1
199,AD Chauhdry (AD Maths Plus Academy),115.54555555555557,230.0,4.3556878333333335,23.444444444444443,321.6666666666667,9
200,ADAM JR,99.99,51.0,4.3333335,56.0,279.0,1
204,ADIL MUDHE HAMDI ALHARDANI,249.99,42.0,4.6666665,0.0,0.0,1
205,ADN Lean,44.989999999999995,180.0,4.268218125,48.5,237.75,4
207,ADRIANA CAIXE HANSEN,79.9,61.0,4.35,18.0,260.0,1
208,ADS Bailemos,19.99,18.0,5.0,8.0,54.0,1
209,ADS QUALIDADE Cristina Stevanatto,84.9,205.0,3.4,14.0,64.0,1
210,ADSR Ltd,19.99,35.0,3.4444444,5.0,52.0,1
212,ADVISE Consultores,21.99,45.8,3.94,8.0,370.4,5
213,AE learning,179.99,114.0,4.05,7.0,193.0,1
216,AEPSIS Asociación Española de Psicología Sanitaria,54.99,10.529411764705882,4.598529411764706,25.0,179.7058823529412,17
218,AEROVIA Cursos Para Pilotos,129.9,13.0,4.9166665,22.0,432.0,1
222,AFAAQ Consulting,19.99,951.7058823529412,4.17892155882353,0.0,0.0,17
223,AFAQ Formations,28.32333333333333,1844.2142857142858,4.197132469047619,0.0,0.0,42
224,AFF Courses,69.99,54.0,4.1,27.0,149.0,1
225,AFINE Cyber Academy,99.99,11.0,3.5,14.0,123.0,1
227,AFT -,44.99,104.25,4.5208333750000005,19.75,156.0,4
229,AGA - Alexandre Gonçalves,73.68375,1057.375,4.61540175,21.875,339.25,8
231,AHMED ALHRAYES,59.99,72.0,3.3,45.0,447.0,1
235,AHMSTZR OZER,169.99,43.0,4.8333335,7.0,215.0,1
236,AHT Training Center,19.99,21.0,4.75,52.0,537.0,1
238,"AI Ascent LLC. Course Instructor: Dr. Ivy Munoko, Ph.D., ACCA, CISA",94.99,2433.0,4.66,73.0,317.0,1
239,AI Data Governance Control Framework For Businesses,19.99,633.5,3.95,32.0,66.0,2
240,AI Sciences,199.99,27.0,4.9117646,92.0,377.0,1
246,AIPAL Academy,52.49,131.125,4.203950125,28.875,160.625,8
247,AIR Academy,42.99,31.0,3.72000004,7.6,77.4,5
249,AISchool 에이아이스쿨,129.495,19.5,4.9285715,60.5,427.0,2
252,AJ Jackson,19.99,241.0,5.0,18.0,48.0,1
253,AJ Kulatunga,67.49,456.5,4.15,28.5,84.0,2
255,AJ Meyghani,54.99,260.0,4.35,23.0,87.0,1
256,AJ Singh,29.99,2007.0,2.85,43.0,295.0,1
258,AJK Consulting,99.32333333333332,248.3,4.28905698,15.633333333333333,94.76666666666667,30
259,AK Ali,99.99,2402.0,3.65,23.0,31.0,1
268,AKINCI Training,29.990000000000002,33.5,3.5035715,24.5,37.0,2
269,AKINOLA SAMUEL,24.99,12.0,5.0,27.0,151.0,1
271,AKZ BEATS,219.99,83.5,4.9,18.0,201.0,2
273,AKshat soni,22.49,965.0,3.7625,30.0,314.5,2
274,ALAOUCHICHE Abdelhamid,24.99,70.0,4.8,37.0,343.0,1
275,ALASSANE Yaassine,49.99,11.0,4.0,55.0,397.0,1
276,ALBERTO CARRETERO,79.9,790.0,4.3,9.5,126.0,2
277,ALBERTO MESQUITA NOVAES JUNIOR,79.9,9.0,4.0,38.0,352.0,1
278,ALBUFERA logan,34.99,19.0,3.4,20.0,72.0,1
279,ALC Learning,39.99,765.0,4.489439625,16.0,42.0,4
280,ALEPH - Global Scrum Team ™,39.99,37.666666666666664,4.411111166666667,28.0,72.66666666666667,3
281,ALEXANDRE MAHMUD,79.9,312.1666666666667,4.1312500000000005,24.166666666666668,210.66666666666666,6
286,ALKAN Belgelendirme Eğitim ve Danışmanlık,249.99,3.0,4.0,5.0,32.0,1
288,ALTHUM Consultores,49.99,263.55555555555554,4.274074088888889,19.0,217.66666666666666,9
289,ALTTR INC.,19.99,1136.0,4.425,8.0,90.0,2
293,AM Learning,21.49,477.8,4.85019385,15.1,67.4,10
296,AMBER LEE,179.99,38.0,4.95,21.0,587.0,1
298,AMFSG (American Financial Services Group),19.99,77.0,3.85,32.0,115.0,1
299,AMIT Learning,19.99,14.0,4.25,64.5,342.5,2
300,AMJED MOHAMMED EZADDIN  ABDULTEEF,19.99,1536.0,4.15,19.0,105.0,1
301,AMMA Healthcare Research Gurukul,19.99,16.0,5.0,6.0,137.0,1
302,AMMAR HUSSAMI,59.99,125.0,4.9,56.0,632.0,1
303,AMMED RIVEROS YUPANQUI,19.99,27.0,4.6666665,61.0,595.0,1
305,AMR ABDULLAH,64.99,1217.0,4.25,0.0,0.0,1
307,AMS Maths,199.99,190.0,3.7,19.0,192.0,1
308,AMY M ADAMS,29.99,22.0,5.0,28.0,92.0,1
310,ANAS EL,19.99,45.0,4.9,16.0,58.0,1
312,ANCON,49.99,53.0,4.5,49.0,206.0,1
313,ANDREA CORTIGIANI,19.99,6.0,4.25,5.0,186.0,1
318,ANDRÉ BENTO,79.9,133.0,4.15,20.0,209.0,1
319,ANGEL GARCIA MORAN,49.99,81.0,3.6,26.0,228.0,1
321,ANIL ÇUBUKÇU,249.99,133.0,4.45,27.0,481.0,1
322,ANJALI BHATNAGAR,19.99,629.0,3.55,30.0,72.0,1
328,ANTONIO WILLAME DOS SANTOS,39.99,300.0,3.9,22.0,192.0,1
329,ANUBA Language Community,29.99,15.0,3.7,26.0,71.0,1
331,AOS Online Education,19.99,1022.0,4.625,54.0,294.0,1
332,AOS Software,243.32333333333332,418.44444444444446,4.405555555555555,46.111111111111114,312.55555555555554,9
333,AP Academy,49.99,612.0,4.65,25.0,89.0,1
334,APCA CHEF Online,51.20951219512195,77.41463414634147,4.585157760975609,12.121951219512194,177.4390243902439,41
335,APS Academy,19.99,182.0,4.5072115,0.0,0.0,2
336,"APSthai Co., Ltd. Academic Partner System",49.99,3.0,4.5,12.0,36.0,1
338,AR Deploy,199.99,148.0,3.75,70.0,260.0,1
342,AREEBA ANEES,19.99,12.0,4.5,7.0,36.0,1
344,AROV Education,25.99,676.8,4.5988095,20.4,148.4,5
346,ART PROGRAMS,19.99,151.0,4.0,10.0,93.0,1
347,ARTX CAMPUS,77.5,56.375,4.8308035625,11.125,220.875,16
350,ARWİN Algo,107.49000000000001,29.75,4.625,11.25,167.25,4
351,ARdeveloper TT,183.32333333333335,728.6666666666666,3.85,37.166666666666664,176.5,6
352,AS Learning,88.32333333333334,1172.0,3.8333333333333335,37.0,204.33333333333334,3
353,AS Music,79.9,10.0,3.5,10.0,67.0,1
354,AS3 Engenharia & Projetos,101.32857142857144,184.57142857142858,4.500042485714286,37.142857142857146,287.2857142857143,7
355,ASCENDING LLC,19.99,86.0,4.5,87.0,300.0,1
358,ASIM YILDIZ,249.99,96.75,4.7035715,6.25,69.0,4
359,ASOApp Company,19.99,820.0,4.2,64.0,231.0,1
361,ASYA DİLEM,249.99,30.0,4.3,32.0,143.0,1
362,ASquared LLC,199.99,338.0,4.2,23.0,304.0,1
364,ATACBALA AKADEMİ,169.99,191.0,5.0,90.66666666666667,142.83333333333334,6
365,ATELIÊ DA DÊ Professoras DENISE e MARLI,84.9,36.0,4.875,9.0,117.0,1
366,ATEgroup solteco,109.99000000000001,14.5,4.4333332500000004,29.5,182.0,2
367,ATHLARC Fitness Coaching,24.99,387.5,4.259375,9.5,69.0,2
368,ATI - Analytics Training Institute,22.99,454.6,4.2253846,28.0,177.4,5
369,ATIF M RAZI,19.99,24.0,4.5,24.0,164.0,1
370,ATS e-Learning,24.99,29.0,4.358333249999999,42.5,62.0,2
372,AUMTECH Solutions,32.989999999999995,188.6,3.8533333999999995,18.8,204.0,5
373,"AW Schultz, MBA, CMRP, LSSMBB, PMP",59.99,161.75,3.97321425,34.75,152.75,4
375,AWS Certification Training,19.99,19.0,5.0,0.0,0.0,1
377,AWS Data Consultant,104.99,1406.5,3.9749999999999996,29.0,125.5,2
381,AYDIN AKIMSAR,96.65666666666667,1161.857142857143,4.0,17.0,40.04761904761905,21
383,AYUDA SERVICES,39.99,179.0,3.85,40.0,244.0,1
385,AZIZ ULLAH,19.99,176.5,3.975,17.5,93.0,2
393,Aaditya Singh,199.99,131.33333333333334,3.3000000000000003,49.666666666666664,384.6666666666667,3
394,Aafia Kamal,39.99,8.0,4.1666665,0.0,0.0,1
396,Aaishwarya Chandra,79.99,13.5,4.78333325,38.0,132.5,2
397,Aaiyyan Aaiyyanist,199.99,197.0,4.95,58.0,144.0,1
407,Aakash Saxena,19.99,840.0,3.7,92.0,219.0,1
408,Aakash Taneja,19.99,2016.0,4.5625,16.0,64.0,1
409,Aakash Thakur,199.99,38.0,4.1666665,42.0,448.0,1
412,Aalekh Rai,39.99,205.0,4.0,51.0,205.0,1
413,Aaliya Bhatt,19.99,1811.0,3.8499999999999996,27.0,114.5,2
414,Aamir Abbas,49.99,911.0,3.85,22.0,120.0,1
415,Aamir Ahmed,39.99,2111.0,4.46388885,32.5,277.0,2
417,Aamir Haider,19.99,15.0,5.0,5.0,60.0,1
418,Aamir Hussain,19.99,461.2,4.2566667,10.2,90.2,5
420,Aamir Janjua,49.99,86.0,4.35,32.0,367.0,1
426,Aanchal A,94.99,6.0,4.6,39.0,77.0,1
428,Aarav Ventures,39.99,44.0,4.1000000000000005,0.0,0.0,3
430,Aaron (Spacefood) Klingbeil,27.99,11.0,4.5,27.0,150.0,1
431,Aaron A Bryson Magathan,19.99,69.0,2.9,17.0,228.0,1
432,Aaron B. Tadeo,19.99,1009.5,3.94166675,40.5,167.0,2
433,Aaron Barash,19.99,1260.0,4.3,7.0,33.0,1
434,Aaron Benitez,24.99,1000.0,4.45,30.0,88.0,1
435,Aaron Caines,39.99,643.3333333333334,4.433333333333334,59.0,459.3333333333333,3
436,Aaron Carr,19.99,441.0,4.6666665,32.0,74.0,1
438,Aaron Connolly,199.99,2560.5,3.875,13.5,101.0,2
439,Aaron Craig,129.99,1434.0,4.423077,35.333333333333336,225.33333333333334,3
440,Aaron Cárdenas,39.99,4.0,5.0,0.0,0.0,1
441,Aaron Ellis,28.49,92.5,4.05,20.5,59.5,2
442,Aaron Flanary,19.99,186.5,3.375,6.0,41.5,2
445,Aaron Ho,19.99,1892.0,4.5,18.0,62.0,1
446,Aaron Hoey,19.99,20.0,5.0,16.0,119.0,2
447,Aaron Howell,19.99,1837.0,4.8,22.0,84.0,1
449,Aaron Hutchinson,32.49,312.5,4.5,33.0,189.0,2
454,Aaron Lawrence,99.99,1723.0,4.672662,34.0,427.0,1
455,Aaron Lerch MSc.,76.65666666666665,1468.0,4.522222166666666,25.333333333333332,179.0,3
456,Aaron Letinsky,19.99,27.0,4.8333335,12.0,49.0,1
457,Aaron Lieberman,99.99,1668.0,4.474359,57.0,420.0,1
458,Aaron Linsdau,42.989999999999995,80.0,4.4,48.8,196.4,5
461,Aaron Micallef Piccione,19.99,146.0,3.85,6.0,40.0,1
463,Aaron Morton,19.99,74.0,3.7,43.0,241.0,1
464,Aaron N. Fletcher,19.99,2434.0,4.15,13.0,243.0,1
465,Aaron Ng,42.32333333333333,33.333333333333336,4.541666666666667,17.333333333333332,183.66666666666666,3
467,Aaron Novello,66.65666666666667,197.16666666666666,4.73796295,9.0,60.666666666666664,6
468,Aaron P. Coleman,19.99,1577.0,4.3,12.0,61.0,1
470,Aaron Porter,79.99,313.75,4.4464285,35.75,519.5,4
471,Aaron Pyne,73.32333333333334,213.33333333333334,4.783333333333334,12.666666666666666,193.66666666666666,3
472,Aaron Quinonez,94.99,42.0,4.7222223,16.0,153.0,1
473,Aaron S,39.99,66.0,4.2,17.0,97.0,1
474,Aaron Saunders,29.99,83.0,4.3333335,19.0,180.0,1
475,Aaron Schmookler,199.99,100.0,4.5,58.0,384.0,1
476,Aaron Smith,19.99,17.0,5.0,15.0,268.0,1
477,"Aaron Smith, Ph.D.",19.99,13.0,4.7,11.0,127.0,1
478,Aaron Taylor,19.99,706.0,4.85,10.0,69.0,1
479,Aaron Trejo,49.99,55.0,4.0,48.0,450.0,1
480,Aaron Tyler,19.99,36.0,4.4,7.0,46.0,1
482,Aaron Ward,27.99,914.3,4.1757143,26.6,106.6,10
484,Aaron Wilson,19.99,1634.0,4.55,5.0,62.0,1
486,Aarthi Elumalai (Business courses),173.74,1247.25,4.175,31.5,214.75,4
489,Aarti Uppal Singla,29.99,47.0,4.9444447,16.0,291.0,1
490,Aarushi Tewari,19.99,70.0,4.6666665,64.0,175.0,1
491,Aarya Kapani,19.99,22.0,4.7,15.0,31.0,1
494,Aaryn Longmore,19.99,2858.0,3.85,34.0,229.0,1
495,Aasavari Kaley,19.99,56.0,4.3,51.0,155.0,1
499,Aashir Masood,19.99,12.0,5.0,18.0,439.0,1
502,Aasish Krishnan Vt,19.99,6.0,5.0,14.0,245.0,1
511,Abanoub Wahied,99.99,31.0,4.55,16.5,233.0,2
514,Abary EL MADOU KAZELMA,24.99,280.3333333333333,3.959523666666667,38.333333333333336,236.0,3
516,Abasse GUEYE,49.99,5.0,4.0,76.0,463.0,1
517,Abatic Soluciones Tecnológicas,159.99,682.0,4.25,7.0,105.0,1
518,"Abayomi Al-Ameen, PhD",19.99,25.0,3.875,12.0,84.0,1
519,Abayzeed Elsmani Ahmed Abdelgadir,36.24,943.0,4.61875,0.0,0.0,4
521,Abbas Ahmad,24.99,273.0,5.0,11.0,35.0,1
522,Abbas Aref,24.99,6.0,4.25,18.0,66.0,1
523,Abbas Assi,19.99,855.5,3.825,12.0,51.5,2
525,Abbas Elibrahim,199.99,24.0,3.625,16.0,385.0,1
526,Abbas Raza,49.99,55.0,4.9,69.0,657.0,1
527,Abbas Rizvi,19.99,519.0,3.9,39.0,219.0,1
528,Abbas S.,24.99,103.0,3.75,10.0,93.0,1
529,Abbas Suwan,19.99,183.0,4.35,21.0,147.0,1
531,Abbey Graham,29.99,2.0,3.0,6.0,119.0,1
534,Abby Banks,19.99,366.0,4.6,17.0,44.0,1
535,Abby G.,19.99,461.0,4.4166665,15.0,35.0,1
536,Abby Harvey,19.99,370.0,4.35,22.0,148.0,1
538,AbcEdu Online,19.99,373.3333333333333,4.426414133333334,34.733333333333334,402.3333333333333,15
539,Abd AbuGhazaleh,19.99,723.5,4.575,28.5,57.5,2
540,Abd AlKareem Balbaki,29.99,30.0,3.642857,17.0,587.0,1
542,Abd El Fattah Khatib,19.99,12.0,5.0,56.0,331.0,1
543,Abd Karim Alias,36.656666666666666,471.0,4.533333333333333,22.666666666666668,149.0,3
546,Abdalla Elghazaly,99.99,42.0,4.85,0.0,0.0,1
