,price,num_subscribers,avg_rating,num_lectures,content_length_min
0,32.49,27.0,4.41666665,12.5,419.5
1,49.99,138.0,4.7,40.0,184.0
2,99.99,26.0,5.0,55.0,213.0
5,199.99,278.3333333333333,3.766666666666667,9.0,108.33333333333333
7,79.24,78.75,4.456944425,13.5,234.5
8,34.99,147.0,4.55,36.0,148.0
10,91.24000000000001,51.0,4.457291625,35.5,173.75
12,101.24000000000001,1206.0,4.4875,35.5,300.5
14,24.99,76.0,4.45,36.0,105.0
15,205.23333333333332,32.166666666666664,4.626177246666667,15.633333333333333,146.66666666666666
16,199.99,161.0,4.7,0.0,0.0
17,31.656666666666666,180.33333333333334,3.8166666666666664,22.0,61.666666666666664
18,49.99,245.0,4.1,36.0,264.0
20,44.156666666666666,1261.5,4.4407827499999994,22.166666666666668,146.66666666666666
21,19.99,55.0,4.65,11.0,127.0
23,19.99,1260.0,4.765909,32.5,195.5
26,19.99,1021.0,4.1969695,26.0,95.0
27,24.99,57.0,4.8,0.0,0.0
29,97.49000000000001,295.25,4.2309027875,59.5,236.125
30,94.99,177.0,4.6,14.0,43.0
32,19.99,20.0,4.875,0.0,0.0
33,34.99,1434.5,3.9887821500000005,53.5,211.0
34,59.989999999999995,335.5,4.4,30.5,111.5
35,39.99,612.0,4.55,25.0,183.0
37,24.0,51.0,4.8,45.0,281.0
38,47.99,41.86666666666667,4.379537033333333,6.666666666666667,285.0
39,199.99,554.6666666666666,3.7240741000000006,66.66666666666667,240.66666666666666
45,29.99,12.0,5.0,27.0,59.0
46,39.99,781.5,4.440705250000001,0.0,0.0
48,19.99,1233.4545454545455,3.9545454545454546,14.454545454545455,71.9090909090909
50,98.87888888888888,726.6666666666666,3.7950617444444443,42.666666666666664,251.77777777777777
51,199.99,627.0,4.3,29.0,131.0
52,79.99,575.4285714285714,4.5738095,24.714285714285715,173.42857142857142
55,49.99,1375.0,3.36666665,21.5,67.5
56,49.99,27.0,4.6,44.0,403.0
58,186.83210526315793,1245.3157894736842,4.45774357368421,52.05263157894737,217.57894736842104
59,49.99,17.0,4.0,15.0,99.0
60,31.99,1250.2,4.38,29.0,290.0
61,259.99,70.0,3.675,18.0,422.5
62,19.99,2661.0,4.7,29.0,452.0
63,79.9,21.0,4.6,12.0,98.0
64,134.99,571.0,4.835833333333333,35.5,425.0
65,108.32333333333334,48.333333333333336,4.928571333333333,19.666666666666668,158.66666666666666
70,24.99,111.0,5.0,0.0,0.0
71,249.99,56.0,4.0,18.0,288.0
72,19.99,1468.0,4.2,5.0,53.0
73,19.99,535.4406779661017,4.152631488135594,26.47457627118644,239.05084745762713
74,19.99,108.0,4.25,31.0,156.0
77,19.99,77.0,5.0,11.0,38.0
79,129.9,38.0,4.9,30.0,380.0
80,19.99,123.0,3.8,0.0,0.0
81,24.99,187.5,4.225,33.5,172.5
83,199.99,205.0,4.825,12.0,263.0
89,29.99,42.0,3.2857144,37.0,127.0
91,44.99,839.5,4.175,11.0,74.5
92,34.99,1272.0,4.0,15.0,61.0
94,19.99,6.0,5.0,73.0,345.0
95,29.99,189.0,4.15,20.0,40.0
96,24.0,51.1,4.7219047000000005,15.3,89.9
97,99.99,651.5,4.525,18.5,316.0
98,199.99,17.0,4.428571,16.0,152.0
99,44.99,5.0,5.0,21.0,53.0
100,19.99,1512.5,4.35,54.5,133.0
101,59.99,78.0,4.25,17.0,112.0
104,19.99,23.0,3.0,0.0,0.0
106,20.0,1044.0,4.175,13.0,98.0
110,22.49,286.5,4.45,23.5,155.5
111,19.99,81.0,4.6,72.0,68.0
115,49.99,660.0,3.6,40.0,497.0
119,19.99,240.0,4.5,7.0,159.0
121,28.323333333333334,85.66666666666667,4.404166666666667,32.5,228.5
123,81.24,27.75,4.119047575,25.5,371.5
124,19.99,1396.0,4.525557849999999,37.333333333333336,146.83333333333334
127,19.99,2946.0,4.3142858,0.0,0.0
128,39.99,1136.5,4.41875,48.75,71.0
129,139.99,35.0,4.4375,55.0,328.0
130,29.99,1091.0,4.5,61.0,418.0
131,15.0,27.0,4.65,19.0,87.0
132,49.99,43.0,4.625,8.0,229.0
133,29.990000000000002,70.5,4.8,14.0,184.5
136,49.99,82.0,4.5,15.0,140.0
138,19.99,56.0,4.78174585,43.5,496.5
141,24.0,484.0,3.95,77.0,653.0
144,34.99,133.33333333333334,4.066666666666666,9.333333333333334,161.66666666666666
147,29.99,13.0,3.5,14.0,40.0
148,29.99,678.0,4.3,31.0,207.0
149,27.49,405.75,3.6263889000000002,21.0,44.75
151,269.99,11.0,3.5,15.0,34.0
154,19.99,1443.0,4.75,55.0,269.0
155,19.990000000000002,17.923076923076923,4.439102576923077,23.53846153846154,173.92307692307693
156,19.99,2764.0,3.65,12.0,76.0
157,34.99,29.0,3.9,21.0,217.0
158,29.99,6.0,3.5,10.0,61.0
159,113.65,47.375,4.5513889,28.125,158.375
160,19.99,419.3333333333333,4.421296333333333,25.666666666666668,184.66666666666666
161,19.99,47.0,3.5625,0.0,0.0
162,19.99,337.0,4.45,30.0,134.0
163,59.99,370.0,4.45,21.333333333333332,87.66666666666667
165,29.99,72.0,4.6,34.0,462.0
168,52.489999999999995,1379.0,4.3166667499999996,0.0,0.0
169,27.0,2054.0,4.8,0.0,0.0
173,34.99,1188.0,4.375,26.5,171.0
177,112.49000000000001,15.0,4.20833335,9.5,86.5
178,19.99,3.0,5.0,8.333333333333334,208.66666666666666
179,19.99,411.0,3.85,10.0,31.0
180,249.99,2017.0,4.3,28.0,381.0
182,19.99,1629.0,4.75,63.0,481.0
188,19.99,1022.0,4.875,45.0,171.0
190,199.99,16.0,4.625,62.0,182.0
191,99.99,9.0,4.75,14.0,42.0
194,25.615,337.46875,4.3496527968750005,34.75,253.375
195,19.99,385.25,4.5375,32.75,237.75
196,122.4,57.5,4.5,25.5,106.0
197,44.99,5.0,4.5,11.0,230.0
199,115.54555555555557,230.0,4.3556878333333335,23.444444444444443,321.6666666666667
200,99.99,51.0,4.3333335,56.0,279.0
204,249.99,42.0,4.6666665,0.0,0.0
205,44.989999999999995,180.0,4.268218125,48.5,237.75
207,79.9,61.0,4.35,18.0,260.0
208,19.99,18.0,5.0,8.0,54.0
209,84.9,205.0,3.4,14.0,64.0
210,19.99,35.0,3.4444444,5.0,52.0
212,21.99,45.8,3.94,8.0,370.4
213,179.99,114.0,4.05,7.0,193.0
216,54.99,10.529411764705882,4.598529411764706,25.0,179.7058823529412
218,129.9,13.0,4.9166665,22.0,432.0
222,19.99,951.7058823529412,4.17892155882353,0.0,0.0
223,28.32333333333333,1844.2142857142858,4.197132469047619,0.0,0.0
224,69.99,54.0,4.1,27.0,149.0
225,99.99,11.0,3.5,14.0,123.0
227,44.99,104.25,4.5208333750000005,19.75,156.0
229,73.68375,1057.375,4.61540175,21.875,339.25
231,59.99,72.0,3.3,45.0,447.0
235,169.99,43.0,4.8333335,7.0,215.0
236,19.99,21.0,4.75,52.0,537.0
238,94.99,2433.0,4.66,73.0,317.0
239,19.99,633.5,3.95,32.0,66.0
240,199.99,27.0,4.9117646,92.0,377.0
246,52.49,131.125,4.203950125,28.875,160.625
247,42.99,31.0,3.72000004,7.6,77.4
249,129.495,19.5,4.9285715,60.5,427.0
252,19.99,241.0,5.0,18.0,48.0
253,67.49,456.5,4.15,28.5,84.0
255,54.99,260.0,4.35,23.0,87.0
256,29.99,2007.0,2.85,43.0,295.0
258,99.32333333333332,248.3,4.28905698,15.633333333333333,94.76666666666667
259,99.99,2402.0,3.65,23.0,31.0
268,29.990000000000002,33.5,3.5035715,24.5,37.0
269,24.99,12.0,5.0,27.0,151.0
271,219.99,83.5,4.9,18.0,201.0
273,22.49,965.0,3.7625,30.0,314.5
274,24.99,70.0,4.8,37.0,343.0
275,49.99,11.0,4.0,55.0,397.0
276,79.9,790.0,4.3,9.5,126.0
277,79.9,9.0,4.0,38.0,352.0
278,34.99,19.0,3.4,20.0,72.0
279,39.99,765.0,4.489439625,16.0,42.0
280,39.99,37.666666666666664,4.411111166666667,28.0,72.66666666666667
281,79.9,312.1666666666667,4.1312500000000005,24.166666666666668,210.66666666666666
286,249.99,3.0,4.0,5.0,32.0
288,49.99,263.55555555555554,4.274074088888889,19.0,217.66666666666666
289,19.99,1136.0,4.425,8.0,90.0
293,21.49,477.8,4.85019385,15.1,67.4
296,179.99,38.0,4.95,21.0,587.0
298,19.99,77.0,3.85,32.0,115.0
299,19.99,14.0,4.25,64.5,342.5
300,19.99,1536.0,4.15,19.0,105.0
301,19.99,16.0,5.0,6.0,137.0
302,59.99,125.0,4.9,56.0,632.0
303,19.99,27.0,4.6666665,61.0,595.0
305,64.99,1217.0,4.25,0.0,0.0
307,199.99,190.0,3.7,19.0,192.0
308,29.99,22.0,5.0,28.0,92.0
310,19.99,45.0,4.9,16.0,58.0
312,49.99,53.0,4.5,49.0,206.0
313,19.99,6.0,4.25,5.0,186.0
318,79.9,133.0,4.15,20.0,209.0
319,49.99,81.0,3.6,26.0,228.0
321,249.99,133.0,4.45,27.0,481.0
322,19.99,629.0,3.55,30.0,72.0
328,39.99,300.0,3.9,22.0,192.0
329,29.99,15.0,3.7,26.0,71.0
331,19.99,1022.0,4.625,54.0,294.0
332,243.32333333333332,418.44444444444446,4.405555555555555,46.111111111111114,312.55555555555554
333,49.99,612.0,4.65,25.0,89.0
334,51.20951219512195,77.41463414634147,4.585157760975609,12.121951219512194,177.4390243902439
335,19.99,182.0,4.5072115,0.0,0.0
336,49.99,3.0,4.5,12.0,36.0
338,199.99,148.0,3.75,70.0,260.0
342,19.99,12.0,4.5,7.0,36.0
344,25.99,676.8,4.5988095,20.4,148.4
346,19.99,151.0,4.0,10.0,93.0
347,77.5,56.375,4.8308035625,11.125,220.875
350,107.49000000000001,29.75,4.625,11.25,167.25
351,183.32333333333335,728.6666666666666,3.85,37.166666666666664,176.5
352,88.32333333333334,1172.0,3.8333333333333335,37.0,204.33333333333334
353,79.9,10.0,3.5,10.0,67.0
354,101.32857142857144,184.57142857142858,4.500042485714286,37.142857142857146,287.2857142857143
355,19.99,86.0,4.5,87.0,300.0
358,249.99,96.75,4.7035715,6.25,69.0
359,19.99,820.0,4.2,64.0,231.0
361,249.99,30.0,4.3,32.0,143.0
362,199.99,338.0,4.2,23.0,304.0
364,169.99,191.0,5.0,90.66666666666667,142.83333333333334
365,84.9,36.0,4.875,9.0,117.0
366,109.99000000000001,14.5,4.4333332500000004,29.5,182.0
367,24.99,387.5,4.259375,9.5,69.0
368,22.99,454.6,4.2253846,28.0,177.4
369,19.99,24.0,4.5,24.0,164.0
370,24.99,29.0,4.358333249999999,42.5,62.0
372,32.989999999999995,188.6,3.8533333999999995,18.8,204.0
373,59.99,161.75,3.97321425,34.75,152.75
375,19.99,19.0,5.0,0.0,0.0
377,104.99,1406.5,3.9749999999999996,29.0,125.5
381,96.65666666666667,1161.857142857143,4.0,17.0,40.04761904761905
383,39.99,179.0,3.85,40.0,244.0
385,19.99,176.5,3.975,17.5,93.0
393,199.99,131.33333333333334,3.3000000000000003,49.666666666666664,384.6666666666667
394,39.99,8.0,4.1666665,0.0,0.0
396,79.99,13.5,4.78333325,38.0,132.5
397,199.99,197.0,4.95,58.0,144.0
407,19.99,840.0,3.7,92.0,219.0
408,19.99,2016.0,4.5625,16.0,64.0
409,199.99,38.0,4.1666665,42.0,448.0
412,39.99,205.0,4.0,51.0,205.0
413,19.99,1811.0,3.8499999999999996,27.0,114.5
414,49.99,911.0,3.85,22.0,120.0
415,39.99,2111.0,4.46388885,32.5,277.0
417,19.99,15.0,5.0,5.0,60.0
418,19.99,461.2,4.2566667,10.2,90.2
420,49.99,86.0,4.35,32.0,367.0
426,94.99,6.0,4.6,39.0,77.0
428,39.99,44.0,4.1000000000000005,0.0,0.0
430,27.99,11.0,4.5,27.0,150.0
431,19.99,69.0,2.9,17.0,228.0
432,19.99,1009.5,3.94166675,40.5,167.0
433,19.99,1260.0,4.3,7.0,33.0
434,24.99,1000.0,4.45,30.0,88.0
435,39.99,643.3333333333334,4.433333333333334,59.0,459.3333333333333
436,19.99,441.0,4.6666665,32.0,74.0
438,199.99,2560.5,3.875,13.5,101.0
439,129.99,1434.0,4.423077,35.333333333333336,225.33333333333334
440,39.99,4.0,5.0,0.0,0.0
441,28.49,92.5,4.05,20.5,59.5
