,Number of courses
0,2
1,1
2,1
5,3
7,4
8,1
10,4
12,4
14,1
15,30
16,1
17,3
18,1
20,6
21,1
23,2
26,1
27,1
29,8
30,1
32,1
33,2
34,2
35,1
37,1
38,15
39,3
45,1
46,2
48,11
50,9
51,1
52,7
55,2
56,1
58,19
59,1
60,5
61,2
62,1
63,1
64,6
65,3
70,1
71,1
72,1
73,118
74,1
77,1
79,1
80,1
81,2
83,2
89,1
91,2
92,1
94,1
95,1
96,10
97,2
98,1
99,1
100,2
101,1
104,1
106,2
110,2
111,1
115,1
119,1
121,6
123,4
124,6
127,1
128,4
129,1
130,1
131,1
132,1
133,2
136,1
138,2
141,1
144,3
147,1
148,1
149,4
151,1
154,2
155,13
156,1
157,1
158,1
159,8
160,3
161,1
162,1
163,3
165,1
168,2
169,1
173,2
177,2
178,3
179,1
180,1
182,1
188,1
190,2
191,1
194,32
195,4
196,2
197,1
199,9
200,1
204,1
205,4
207,1
208,1
209,1
210,1
212,5
213,1
216,17
218,1
222,17
223,42
224,1
225,1
227,4
229,8
231,1
235,1
236,1
238,1
239,2
240,1
246,8
247,5
249,2
252,1
253,2
255,1
256,1
258,30
259,1
268,2
269,1
271,2
273,2
274,1
275,1
276,2
277,1
278,1
279,4
280,3
281,6
286,1
288,9
289,2
293,10
296,1
298,1
299,2
300,1
301,1
302,1
303,1
305,1
307,1
308,1
310,1
312,1
313,1
318,1
319,1
321,1
322,1
328,1
329,1
331,1
332,9
333,1
334,41
335,2
336,1
338,1
342,1
344,5
346,1
347,16
350,4
351,6
352,3
353,1
354,7
355,1
358,4
359,1
361,1
362,1
364,6
365,1
366,2
367,2
368,5
369,1
370,2
372,5
373,4
375,1
377,2
381,21
383,1
385,2
393,3
394,1
396,2
397,1
407,1
408,1
409,1
412,1
413,2
414,1
415,2
417,1
418,5
420,1
426,1
428,3
430,1
431,1
432,2
433,1
434,1
435,3
436,1
438,2
439,3
440,1
441,2
442,2
445,1
446,2
447,1
449,2
454,1
455,3
456,1
457,1
458,5
461,1
463,1
464,1
465,3
467,6
468,1
470,4
471,3
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
482,10
484,1
486,4
489,1
490,1
491,1
494,1
495,1
499,1
502,1
511,2
514,3
516,1
517,1
518,1
519,4
521,1
522,1
523,2
525,1
526,1
527,1
528,1
529,1
531,1
534,1
535,1
536,1
538,15
539,2
540,1
542,1
543,3
546,1
548,5
549,3
550,1
551,1
552,1
553,1
554,2
556,2
557,1
559,1
560,1
562,1
564,1
565,1
566,1
567,2
569,1
570,1
571,1
573,2
576,1
578,1
579,1
581,1
582,9
583,2
584,2
586,1
587,2
588,6
589,1
594,1
595,1
596,3
598,1
600,1
605,2
606,1
607,1
608,1
609,1
611,2
612,1
614,2
616,1
617,1
619,2
620,1
621,2
622,2
624,1
627,1
629,1
632,1
635,1
636,2
637,1
638,2
639,1
642,1
643,1
644,1
645,2
648,2
653,6
655,2
656,1
657,1
658,1
660,1
661,4
662,2
663,2
665,2
666,1
668,1
669,1
670,1
671,9
672,1
676,1
682,1
684,2
685,1
687,1
688,14
689,2
693,1
695,1
696,1
697,1
698,1
699,1
701,3
702,13
703,1
704,1
706,1
707,2
711,1
713,1
714,3
718,1
719,2
720,1
725,1
728,1
730,1
731,1
733,1
736,1
738,1
740,3
741,1
742,2
743,1
744,1
746,1
751,1
753,1
757,2
759,1
760,2
761,1
765,1
766,1
767,8
769,1
770,1
771,2
772,2
773,1
774,1
776,1
778,3
779,3
781,1
783,1
784,2
786,1
787,2
788,3
789,4
800,3
801,1
802,2
804,1
805,1
806,2
807,1
808,1
810,1
813,2
815,1
816,2
817,1
818,1
819,2
822,1
823,8
824,1
828,1
830,19
832,8
835,1
837,1
838,1
843,1
844,2
845,1
846,1
847,1
849,2
850,1
855,6
856,1
858,3
867,1
870,1
871,2
873,1
878,3
882,1
883,1
885,2
888,1
889,1
890,10
891,1
892,2
894,1
896,1
900,1
903,25
907,3
909,1
911,2
914,7
922,6
923,1
924,2
926,1
927,6
932,1
933,1
934,15
939,1
940,2
941,5
944,5
947,2
949,1
950,5
955,1
956,5
959,1
960,1
962,1
967,1
969,2
972,1
973,5
974,1
975,6
977,1
978,1
979,1
980,1
981,1
983,1
984,3
985,2
986,1
988,1
994,2
999,5
1000,1
1001,23
1002,2
1004,1
1009,1
1010,7
1011,3
1014,11
1015,1
1017,2
1019,5
1020,1
1021,1
1022,2
1023,1
1026,1
1028,3
1032,1
1033,1
1035,3
1036,2
1037,9
1038,1
1039,1
1040,1
1041,1
1042,1
1043,9
1047,2
1048,1
1050,3
1053,1
1054,1
1055,1
1056,1
1057,3
1058,4
1060,3
1062,2
1063,1
1064,3
1066,1
1067,9
1068,2
1069,5
1070,1
1073,1
1076,4
1077,1
1078,1
1080,1
1082,7
1084,1
1085,1
1086,6
1087,4
1090,1
1093,3
1095,22
1097,2
1099,1
1100,1
1103,1
1104,24
1108,1
1109,1
1112,3
1114,1
1120,1
1125,1
1126,1
1127,1
1130,1
1131,18
1132,1
1133,1
1135,1
1136,5
1137,1
1138,2
1139,1
1140,1
1141,1
1144,1
1145,1
1147,1
1148,8
1151,1
1153,1
1155,1
1158,1
1159,2
1161,1
1164,3
1165,1
1166,2
1169,1
1173,1
1174,4
1176,1
1177,1
1178,1
1179,3
1180,1
1182,5
1186,1
1187,1
1188,1
1190,1
1191,1
1192,1
1194,2
1195,2
1198,1
1200,1
1201,2
1202,1
1203,1
1204,1
1205,1
1206,1
1208,1
1210,2
1212,2
1214,1
1215,1
1216,1
1217,2
1219,1
1220,1
1221,1
1223,5
1224,1
1225,1
1226,1
1229,6
1231,1
1233,2
1234,7
1235,2
1236,1
1237,1
1238,1
1239,2
1240,2
1244,1
1246,6
1247,1
1248,1
1249,1
1250,2
1252,2
